33, tests, 1M_pop, None
33, tests, total, None
33, day, 2024-03-25
33, time, 2024-03-25T09:45:16+00:00
34, continent, Africa
34, country, Guinea-Bissau
34, population, 2063367
34, cases, new, None
34, cases, active, 508
34, cases, critical, 6
34, cases, recovered, 8929
34, cases, 1M_pop, 4659
34, cases, total, 9614
34, deaths, new, None
34, deaths, 1M_pop, 86
34, deaths, total, 177
34, tests, 1M_pop, 70385
34, tests, total, 145231
34, day, 2024-03-25
34, time, 2024-03-25T09:45:16+00:00
35, continent, Oceania
35, country, Vanuatu
35, population, 321832
35, cases, new, None
35, cases, active, 29
35, cases, critical, None
35, cases, recovered, 11976
35, cases, 1M_pop, 37346
35, cases, total, 12019
35, deaths, new, None
35, deaths, 1M_pop, 44
35, deaths, total, 14
35, tests, 1M_pop, 77606
35, tests, total, 24976
35, day, 2024-03-25
35, time, 2024-03-25T09:45:16+00:00
36, continent, North-America
36, country, Sint-Maarten
36, population, 43966
36, cases, new, None
36, cases, active, 54
36, cases, critical, None
36, cases, recovered, 10905
36, cases, 1M_pop, 251353
36, cases, total, 11051
36, deaths, new, None
36, deaths, 1M_pop, 2093
36, deaths, total, 92
36, tests, 1M_pop, 1411454
36, tests, total, 62056
36, day, 2024-03-25
36, time, 2024-03-25T09:45:16+00:00
37, continent, Oceania
37, country, Marshall-Islands
37, population, 60057
37, cases, new, None
37, cases, active, 0
37, cases, critical, None
37, cases, recovered, 16121
37, cases, 1M_pop, 268711
37, cases, total, 16138
37, deaths, new, None
37, deaths, 1M_pop, 283
37, deaths, total, 17
37, tests, 1M_pop, None
37, tests, total, None
37, day, 2024-03-25
37, time, 2024-03-25T09:45:16+00:00
38, continent, North-America
38, country, Saint-Martin
38, population, 39730
38, cases, new, None
38, cases, active, None
38, cases, critical, None
38, cases, recovered, None
38, cases, 1M_pop, 310194
38, cases, total, 12324
38, deaths, new, None
38, deaths, 1M_pop, 1586
38, deaths, total, 63
38, tests, 1M_pop, 2828643
38, tests, total, 112382
38, day, 2024-03-25
38, time, 2024-03-25T09:45:16+00:00
39, continent, Asia
39, country, Yemen
39, population, 31154867
39, cases, new, None
39, cases, active, 662
39, cases, critical, None
39, cases, recovered, 9124
39, cases, 1M_pop, 383
39, cases, total, 11945
39, deaths, new, None
39, deaths, 1M_pop, 69
39, deaths, total, 2159
39, tests, 1M_pop, 10579
39, tests, total, 329592
39, day, 2024-03-25
39, time, 2024-03-25T09:45:16+00:00
40, continent, Europe
40, country, Monaco
40, population, 39783
40, cases, new, None
40, cases, active, None
40, cases, critical, None
40, cases, recovered, None
40, cases, 1M_pop, 431868
40, cases, total, 17181
40, deaths, new, None
40, deaths, 1M_pop, 1684
40, deaths, total, 67
40, tests, 1M_pop, 1976875
40, tests, total, 78646
40, day, 2024-03-25
40, time, 2024-03-25T09:45:16+00:00
41, continent, North-America
41, country, St-Vincent-Grenadines
41, population, 111551
41, cases, new, None
41, cases, active, 57
41, cases, critical, None
41, cases, recovered, 9493
41, cases, 1M_pop, 86723
41, cases, total, 9674
41, deaths, new, None
41, deaths, 1M_pop, 1112
41, deaths, total, 124
41, tests, 1M_pop, 1023720
41, tests, total, 114197
41, day, 2024-03-25
41, time, 2024-03-25T09:45:16+00:00
42, continent, Africa
42, country, CAR
42, population, 5016678
42, cases, new, None
42, cases, active, 127
42, cases, critical, 2
42, cases, recovered, 15200
42, cases, 1M_pop, 3078
42, cases, total, 15440
42, deaths, new, None
42, deaths, 1M_pop, 23
42, deaths, total, 113
42, tests, 1M_pop, 16205
42, tests, total, 81294
42, day, 2024-03-25
42, time, 2024-03-25T09:45:16+00:00
43, continent, North-America
43, country, Dominica
43, population, 72344
43, cases, new, None
43, cases, active, 0
43, cases, critical, None
43, cases, recovered, 15964
43, cases, 1M_pop, 221691
43, cases, total, 16038
43, deaths, new, None
43, deaths, 1M_pop, 1023
43, deaths, total, 74
43, tests, 1M_pop, 3170187
43, tests, total, 229344
43, day, 2024-03-25
43, time, 2024-03-25T09:45:16+00:00
44, continent, Oceania
44, country, Samoa
44, population, 202239
44, cases, new, None
44, cases, active, 15370
44, cases, critical, None
44, cases, recovered, 1605
44, cases, 1M_pop, 84089
44, cases, total, 17006
44, deaths, new, None
44, deaths, 1M_pop, 153
44, deaths, total, 31
44, tests, 1M_pop, 926612
44, tests, total, 187397
44, day, 2024-03-25
44, time, 2024-03-25T09:45:16+00:00
45, continent, Oceania
45, country, Tonga
45, population, 107749
45, cases, new, None
45, cases, active, 1299
45, cases, critical, None
45, cases, recovered, 15638
45, cases, 1M_pop, 157310
45, cases, total, 16950
45, deaths, new, None
45, deaths, 1M_pop, 121
45, deaths, total, 13
45, tests, 1M_pop, 4965327
45, tests, total, 535009
45, day, 2024-03-25
45, time, 2024-03-25T09:45:16+00:00
46, continent, Africa
46, country, Congo
46, population, 5797805
46, cases, new, None
46, cases, active, 983
46, cases, critical, None
46, cases, recovered, 24006
46, cases, 1M_pop, 4377
46, cases, total, 25375
46, deaths, new, None
46, deaths, 1M_pop, 67
46, deaths, total, 386
46, tests, 1M_pop, 59991
46, tests, total, 347815
46, day, 2024-03-25
46, time, 2024-03-25T09:45:15+00:00
47, continent, North-America
47, country, Nicaragua
47, population, 6779100
47, cases, new, None
47, cases, active, 14041
47, cases, critical, None
47, cases, recovered, 4225
47, cases, 1M_pop, 2728
47, cases, total, 18491
47, deaths, new, None
47, deaths, 1M_pop, 33
47, deaths, total, 225
47, tests, 1M_pop, None
47, tests, total, None
47, day, 2024-03-25
47, time, 2024-03-25T09:45:15+00:00
48, continent, Asia
48, country, Tajikistan
48, population, 9957464
48, cases, new, None
48, cases, active, 397
48, cases, critical, None
48, cases, recovered, 17264
48, cases, 1M_pop, 1786
